DATE,ME,AVG,TIME,RELATIVE SCORE,CO2,TEMP
05/22/21,299,311,01:52:00 AM,96.1414790996785,1632,
05/22/21,237,176,01:55:00 AM,134.659090909091,1609,
05/23/21,169,160,06:37:00 PM,105.625,833,
05/23/21,230,335,06:41:00 PM,68.6567164179104,868,
05/23/21,279,322,07:36:00 PM,86.6459627329193,969,
05/23/21,162,163,09:04:00 PM,99.3865030674847,1227,73
05/23/21,195,173,09:08:00 PM,112.71676300578,1229,73
05/23/21,209,169,09:12:00 PM,123.668639053254,1248,73
05/23/21,192,246,10:43:00 PM,78.0487804878049,1052,72
05/23/21,116,113,11:04:00 AM,102.654867256637,1086,72
05/23/21,109,110,11:55:00 PM,99.0909090909091,,72
05/24/21,140,150,02:06:00 AM,93.3333333333333,1013,71
05/24/21,311,264,02:10:00 AM,117.80303030303,1015,71
05/24/21,198,234,02:39:00 PM,84.6153846153846,1425,71
05/24/21,327,355,02:43:00 PM,92.112676056338,1427,71
05/24/21,375,517,02:47:00 PM,72.5338491295938,1452,71
05/24/21,214,235,02:51:00 PM,91.063829787234,1470,71
05/24/21,191,210,07:10:00 PM,90.952380952381,1066,75
05/24/21,228,248,07:23:00 PM,91.9354838709677,1145,75
05/25/21,254,265,01:22:00 PM,95.8490566037736,1831,72
05/25/21,228,212,01:28:00 PM,107.547169811321,1811,72
05/25/21,159,141,01:55:00 PM,112.765957446809,1356,72
05/25/21,282,357,03:39:00 PM,78.9915966386555,1614,72
05/25/21,102,114,05:30:00 PM,89.4736842105263,1422,75
05/26/21,237,201,01:32:00 PM,117.910447761194,1217,71
05/26/21,261,259,01:35:00 PM,100.772200772201,1245,71
05/26/21,105,128,01:39:00 PM,82.03125,1259,71
05/26/21,177,198,01:43:00 PM,89.3939393939394,1272,71
05/26/21,293,190,08:14:00 PM,154.210526315789,511,71
05/26/21,203,169,08:16:00 PM,120.118343195266,516,71
05/26/21,215,150,08:22:00 PM,143.333333333333,571,71
05/26/21,239,197,08:26:00 PM,121.319796954315,595,71
05/26/21,270,255,08:26:00 PM,105.882352941176,615,71
05/26/21,169,195,10:44:00 PM,86.6666666666667,913,71
05/26/21,208,248,10:47:00 PM,83.8709677419355,923,71
05/27/21,264,273,12:37:00 AM,96.7032967032967,843,71
05/27/21,292,242,12:41:00 AM,120.661157024793,867,71
05/27/21,294,293,12:44:00 AM,100.341296928328,482,66
05/27/21,258,266,12:49:00 AM,96.9924812030075,275,66
05/27/21,114,201,01:33:00 PM,56.7164179104478,417,70
05/31/21,157,269,10:52:00 AM,58.364312267658,600,70
05/31/21,278,294,11:28:00 AM,94.5578231292517,1500,69
05/31/21,196,144,11:32:00 AM,136.111111111111,1605,69
05/31/21,235,183,11:36:00 AM,128.415300546448,1649,69
05/31/21,184,238,01:03:00 PM,77.3109243697479,1189,71
05/31/21,334,305,01:07:00 PM,109.508196721311,1298,71
05/31/21,254,205,01:10:00 PM,123.90243902439,1333,71
05/31/21,138,135,01:14:00 PM,102.222222222222,1366,71
05/31/21,192,199,01:44:00 PM,96.4824120603015,1250,71
05/31/21,333,327,01:48:00 PM,101.834862385321,1338,71
05/31/21,191,196,01:51:00 PM,97.4489795918367,1369,71
05/31/21,284,210,03:20:00 PM,135.238095238095,1479,71
05/31/21,147,98,03:24:00 PM,150,1520,71
05/31/21,165,184,07:09:00 PM,89.6739130434783,1150,71
